C,Sigma,TP,FP,TN,FN,Pre,Re,Acc,ET,EC
C: 4.0,  Sigma: 0.8, TP:27.0, FP:10.0, TN:10.0, FN:3.0, Precesion: 0.73, Recall: 0.9, Accuracy: 0.74, Eidx_Training: 261.63283, Eidx_CV: 48.05632 
C: 0.6,  Sigma: 1.5, TP:26.0, FP:10.0, TN:10.0, FN:4.0, Precesion: 0.72, Recall: 0.87, Accuracy: 0.72, Eidx_Training: 287.79681, Eidx_CV: 47.63147 
C: 0.6,  Sigma: 0.3, TP:25.0, FP:9.0, TN:11.0, FN:5.0, Precesion: 0.74, Recall: 0.83, Accuracy: 0.72, Eidx_Training: 184.62561, Eidx_CV: 37.05463 
C: 0.6,  Sigma: 0.5, TP:29.0, FP:13.0, TN:7.0, FN:1.0, Precesion: 0.69, Recall: 0.97, Accuracy: 0.72, Eidx_Training: 180.54574, Eidx_CV: 32.74536 
C: 0.7,  Sigma: 1.5, TP:26.0, FP:10.0, TN:10.0, FN:4.0, Precesion: 0.72, Recall: 0.87, Accuracy: 0.72, Eidx_Training: 641.52257, Eidx_CV: 126.85034 
C: 1.3,  Sigma: 0.04, TP:30.0, FP:14.0, TN:6.0, FN:0.0, Precesion: 0.68, Recall: 1.0, Accuracy: 0.72, Eidx_Training: 251.16665, Eidx_CV: 54.01679 
C: 1.0,  Sigma: 0.3, TP:30.0, FP:14.0, TN:6.0, FN:0.0, Precesion: 0.68, Recall: 1.0, Accuracy: 0.72, Eidx_Training: 221.55896, Eidx_CV: 43.34877 
C: 1.0,  Sigma: 0.8, TP:21.0, FP:5.0, TN:15.0, FN:9.0, Precesion: 0.81, Recall: 0.7, Accuracy: 0.72, Eidx_Training: 223.70709, Eidx_CV: 41.11728 
C: 1.3,  Sigma: 0.3, TP:17.0, FP:1.0, TN:19.0, FN:13.0, Precesion: 0.94, Recall: 0.57, Accuracy: 0.72, Eidx_Training: 232.90911, Eidx_CV: 46.98014 
C: 1.5,  Sigma: 0.04, TP:30.0, FP:14.0, TN:6.0, FN:0.0, Precesion: 0.68, Recall: 1.0, Accuracy: 0.72, Eidx_Training: 250.28227, Eidx_CV: 53.98574 
C: 1.5,  Sigma: 0.5, TP:27.0, FP:11.0, TN:9.0, FN:3.0, Precesion: 0.71, Recall: 0.9, Accuracy: 0.72, Eidx_Training: 233.27414, Eidx_CV: 42.85767 
C: 2.0,  Sigma: 0.04, TP:30.0, FP:14.0, TN:6.0, FN:0.0, Precesion: 0.68, Recall: 1.0, Accuracy: 0.72, Eidx_Training: 250.36361, Eidx_CV: 54.02253 
C: 3.0,  Sigma: 0.5, TP:30.0, FP:14.0, TN:6.0, FN:0.0, Precesion: 0.68, Recall: 1.0, Accuracy: 0.72, Eidx_Training: 227.14987, Eidx_CV: 44.1636 
