quote_time,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB
2016-7-20,1.000538058,-0.688927294,-0.01985724,-0.021736878,1.484778243
2016-7-19,0.899771763,-0.092667879,-0.58360749,-0.031228577,1.434017451
2016-7-18,1.101304353,0.387120921,-0.112570352,-0.012245178,1.535539035
2016-7-15,1.101304353,-0.144828269,0.393879948,-0.012245178,1.535539035
2016-7-14,1.000538058,0.447543455,-0.855339016,-0.021736878,1.484778243
2016-7-13,1.202070647,2.656017812,-1.860462305,-0.002753479,1.586299826
2016-7-12,-0.208657479,5.295034746,3.051567576,-0.135637267,0.875648742
2016-7-11,-0.309423774,0.275383426,0.389472017,-0.145128966,0.82488795
2016-7-8,-0.208657479,0.135962945,-0.55585817,-0.135637267,0.875648742
2016-7-7,-0.309423774,0.232580395,0.909368318,-0.145128966,0.82488795
2016-7-6,-0.410190068,0.066738665,-0.417716736,-0.154620665,0.774127159
2016-7-5,-0.510956363,1.601739386,1.335864394,-0.164112364,0.723366367
2016-7-4,-1.014787837,0.249031029,0.351939202,-0.21157086,0.469562408
2016-7-1,-1.014787837,-0.823665894,-0.2015658,-0.21157086,0.469562408
2016-6-30,-1.115554132,-0.551111206,-0.306801407,-0.221062559,0.418801616
2016-6-29,-1.317086721,-0.094477225,1.454140984,-0.618631703,0.497145631
2016-6-28,-1.51861931,-0.37787998,-0.672234165,-0.635196023,0.394474746
2016-6-27,-1.619385605,-0.71787362,-0.049023339,-0.643478183,0.343139304
2016-6-24,-1.820918195,-0.231503926,-0.740891983,-0.660042503,0.24046842
2016-6-23,-1.417853016,-0.637215238,-0.312993313,-0.626913863,0.445810189
2016-6-22,-1.216320426,-0.852935661,-0.117722132,-0.610349543,0.548481073
2016-6-21,-1.216320426,-0.385648958,0.108109863,-0.610349543,0.548481073
2016-6-20,-1.417853016,-0.407891098,-0.200957483,-0.626913863,0.445810189
2016-6-17,-1.115554132,-0.051819902,0.201587311,-0.602067383,0.599816515
2016-6-16,-1.216320426,-0.412275159,-0.414675154,-0.610349543,0.548481073
2016-6-15,-1.51861931,-0.164860766,0.131756986,-0.635196023,0.394474746
2016-6-14,-1.7201519,-0.607646048,0.100444445,-0.651760343,0.291803862
2016-6-13,-1.51861931,-0.358684906,-0.76935836,-0.635196023,0.394474746
2016-6-8,-0.813255247,-0.446476593,-0.146818888,-0.577220903,0.753822842
2016-6-7,-0.510956363,-0.531442179,-0.411603628,-0.552374423,0.907829168
2016-6-6,-0.107891184,0.139578433,-0.246619045,-0.519245783,1.113170937
2016-6-3,-0.510956363,-0.13603613,-0.355881204,-0.552374423,0.907829168
2016-6-2,-0.611722658,-0.121865592,0.222922516,-0.560656583,0.856493726
2016-6-1,-0.611722658,-0.029071785,-0.268852542,-0.560656583,0.856493726
2016-5-31,-1.619385605,0.138387147,0.718962093,-0.643478183,0.343139304
2016-5-30,-1.921684489,-0.452351362,-0.539791365,-0.668324663,0.189132978
2016-5-27,-1.417853016,-0.624781992,0.260289856,-0.626913863,0.445810189
2016-5-26,-1.619385605,-0.061383814,-0.225638429,-0.643478183,0.343139304
2016-5-25,-1.317086721,0.492876367,-0.788964748,-0.618631703,0.497145631
2016-5-24,-0.712488953,-0.040829329,-0.532277237,-0.568938743,0.805158284
2016-5-23,-0.611722658,0.304774884,0.039273963,-0.560656583,0.856493726
2016-5-20,-1.014787837,-0.085886836,-0.490011846,-0.593785223,0.651151957
2016-5-19,-0.611722658,0.265387192,0.174313928,-0.560656583,0.856493726
2016-5-18,-0.914021542,1.302203032,-1.312534588,-0.585503063,0.7024874
2016-5-17,0.1944077,0.499944023,-1.160338836,-0.494399303,1.267177264
2016-5-16,0.698239174,0.315140992,0.068690637,-0.452988503,1.523854475
2016-5-13,0.698239174,0.845287242,-1.172550869,-0.452988503,1.523854475
2016-5-12,0.698239174,3.414858932,0.566123354,-0.452988503,1.523854475
2016-5-11,-0.914021542,6.438465871,9.101814414,-0.585503063,0.7024874
2016-5-10,-1.317086721,0.631710813,0.835453132,-0.618631703,0.497145631
2016-5-9,-1.417853016,1.198689253,-0.03672778,-0.626913863,0.445810189
2016-5-6,-0.410190068,2.125833134,-1.106045798,-0.544092263,0.959164611
2016-5-5,0.093641405,2.8711538,0.208083375,-0.502681463,1.215841822
2016-5-4,-1.417853016,4.321126488,3.849551208,-0.626913863,0.445810189
2016-5-3,-2.022450784,-0.445431015,0.570789741,-0.676606823,0.137797535
2016-4-29,-2.123217079,-0.928206036,-0.126363063,-0.684888983,0.086462093
2016-4-28,-2.324749668,-0.796882776,-0.199354742,-0.701453303,-0.016208791
2016-4-27,-1.921684489,-0.9430827,-0.314265104,-0.668324663,0.189132978
2016-4-26,-2.022450784,-0.936532228,-0.058430182,-0.676606823,0.137797535
2016-4-25,-2.022450784,-0.983807385,-0.27802772,-0.676606823,0.137797535
2016-4-22,-1.921684489,-0.910179831,-0.21742458,-0.668324663,0.189132978
2016-4-21,-1.7201519,-0.601057148,-0.300538583,-0.651760343,0.291803862
2016-4-20,-2.022450784,0.617517858,-0.453167722,-0.676606823,0.137797535
2016-4-19,-1.014787837,-0.477464437,-0.109981067,-0.593785223,0.651151957
2016-4-18,-0.813255247,-0.403249246,-0.035794818,-0.577220903,0.753822842
2016-4-15,-0.813255247,-0.468978126,-0.788633799,-0.577220903,0.753822842
2016-4-14,-0.510956363,0.132036825,0.562801252,-0.552374423,0.907829168
