quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,SA,Turn_Over,open_price-Order2,high_price-Order2,low_price-Order2,close_price-Order2,trading_volumn-Order2,Capital-Order2,PE_TTM-Order2,PB-Order2,SA-Order2,Turn_Over-Order2
2016-09-23,1478,sh600221,3.24,3.23,3.25,3.22,day,306315.0,-3436.68,536.666666667,1.20149253731,-0.0061919504644,2.59323852981e-05,10.4976,10.4329,10.5625,10.3684,93828879225.0,11810769.4224,288011.111111,1.44358431722,3.83402505535e-05,6.72488607248e-10
2016-09-22,1477,sh600221,3.23,3.25,3.27,3.23,day,517781.0,3882.94,538.333333333,1.2052238806,-0.00621118012422,4.38349293767e-05,10.4329,10.5625,10.6929,10.4329,2.68097163961e+11,15077223.0436,289802.777778,1.45256460236,3.85787585356e-05,1.92150103346e-09
2016-09-21,1476,sh600221,3.22,3.23,3.24,3.22,day,209915.0,-269.63,536.666666667,1.20149253731,-0.00310559006211,1.7771237647e-05,10.3684,10.4329,10.4976,10.3684,44064307225.0,72700.3369,288011.111111,1.44358431722,9.64468963389e-06,3.15816887507e-10
2016-09-20,1475,sh600221,3.24,3.23,3.24,3.22,day,165912.0,-1630.41,536.666666667,1.20149253731,-0.00310559006211,1.40459785175e-05,10.4976,10.4329,10.4976,10.3684,27526791744.0,2658236.7681,288011.111111,1.44358431722,9.64468963389e-06,1.97289512513e-10
2016-09-19,1474,sh600221,3.22,3.24,3.24,3.22,day,266367.0,-618.59,536.666666667,1.20149253731,0.0,2.25504192569e-05,10.3684,10.4976,10.4976,10.3684,70951378689.0,382653.5881,288011.111111,1.44358431722,0.0,5.08521408664e-10
2016-09-14,1473,sh600221,3.21,3.22,3.23,3.2,day,409062.0,-530.71,533.333333333,1.19402985075,-0.00311526479751,3.46308649423e-05,10.3041,10.3684,10.4329,10.24,1.67331719844e+11,281653.1041,284444.444444,1.42570728447,9.70487475859e-06,1.19929680665e-09
2016-09-13,1472,sh600221,3.25,3.23,3.26,3.21,day,568319.0,-2062.91,535.0,1.19776119403,-0.009375,4.81134364305e-05,10.5625,10.4329,10.6276,10.3041,3.22986485761e+11,4255597.6681,286225.0,1.43463187792,8.7890625e-05,2.31490276515e-09
2016-09-12,1471,sh600221,3.27,3.25,3.27,3.2,day,1052948.0,-2697.33,533.333333333,1.19402985075,-0.00607902735562,8.91417437437e-05,10.6929,10.5625,10.6929,10.24,1.1086994907e+12,7275589.1289,284444.444444,1.42570728447,3.69545735904e-05,7.94625047766e-09
2016-09-09,1470,sh600221,3.34,3.29,3.35,3.29,day,846617.0,-4375.91,548.333333333,1.2276119403,-0.018018018018,7.16739246981e-05,11.1556,10.8241,11.2225,10.8241,7.16760344689e+11,19148588.3281,300669.444444,1.50703107596,0.000324648973298,5.13715148163e-09
2016-09-08,1469,sh600221,3.36,3.34,3.36,3.33,day,832904.0,-4916.52,555.0,1.24253731343,-0.0059880239521,7.05129929788e-05,11.2896,11.1556,11.2896,11.0889,6.93729073216e+11,24172168.9104,308025.0,1.54389897527,3.58564308509e-05,4.97208217883e-09
2016-09-07,1468,sh600221,3.36,3.36,3.39,3.34,day,709702.0,-2216.64,556.666666667,1.24626865672,-0.00903614457831,6.0082809235e-05,11.2896,11.2896,11.4921,11.1556,5.03676928804e+11,4913492.8896,309877.777778,1.55318556471,8.16519088402e-05,3.60994396557e-09
2016-09-06,1467,sh600221,3.34,3.36,3.36,3.32,day,520311.0,2055.18,553.333333333,1.23880597015,0.0,4.40491171729e-05,11.1556,11.2896,11.2896,11.0224,2.70723536721e+11,4223764.8324,306177.777778,1.53464023168,0.0,1.94032472371e-09
2016-09-05,1466,sh600221,3.35,3.35,3.36,3.33,day,399517.0,748.28,555.0,1.24253731343,-0.003003003003,3.3822792802e-05,11.2225,11.2225,11.2896,11.0889,1.59613833289e+11,559922.9584,308025.0,1.54389897527,9.01802703604e-06,1.14398131292e-09
2016-09-02,1465,sh600221,3.34,3.35,3.36,3.33,day,413869.0,2102.08,555.0,1.24253731343,-0.003003003003,3.50378217552e-05,11.1556,11.2225,11.2896,11.0889,1.71287549161e+11,4418740.3264,308025.0,1.54389897527,9.01802703604e-06,1.22764895335e-09
