quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,nor_open_price,nor_high_price,nor_low_price,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB
2017-03-01,1905,sz300226,42.23,42.23,43.18,42.2,day,25899.0,-1718.14,264.742785445,13.482428115,-0.599393565386,-0.589849667792,-0.565182324499,-0.499397104358,-0.484118223499,-0.271968659409,1.39483778588,-0.659076121913
2017-02-28,1904,sz300226,42.77,42.61,43.49,42.16,day,27368.0,-817.78,264.491844417,13.4696485623,-0.517391249207,-0.53227651708,-0.520106921776,-0.505761573614,-0.437352129135,-0.0874587075357,1.39318013956,-0.662485982613
2017-02-27,1903,sz300226,42.32,42.76,44.0,42.06,day,40095.0,-1070.56,263.864491844,13.4376996805,-0.585726512689,-0.509550273379,-0.44595061407,-0.521672746752,-0.0321839310623,-0.139260681895,1.38903602378,-0.671010634363
2017-02-24,1902,sz300226,41.11,42.31,44.54,41.1,day,65918.0,263.03,257.841907152,13.1309904153,-0.769472443387,-0.577729004484,-0.367432170617,-0.674420008877,0.789899700496,0.134030697907,1.3492525122,-0.752847291158
2017-02-23,1901,sz300226,40.96,41.12,41.35,40.58,day,33381.0,771.15,254.579673777,12.96485623,-0.792250864548,-0.758023871184,-0.83127260509,-0.757158109195,-0.245926311974,0.238159265086,1.32770311009,-0.797175480255
2017-02-22,1900,sz300226,40.3,40.95,41.1,40.05,day,26137.0,-34.65,251.254705144,12.7955271565,-0.892475917655,-0.783780280713,-0.867623736318,-0.841487326827,-0.476541415835,0.0730274075854,1.30573929641,-0.842356134528
2017-02-21,1899,sz300226,39.4,40.5,41.2,39.21,day,32939.0,1044.8,245.984943538,12.5271565495,-1.02914644462,-0.851959011818,-0.853083283827,-0.975141181186,-0.259997526207,0.294238109471,1.27092872378,-0.913963209224
2017-02-20,1898,sz300226,39.09,39.4,39.48,38.58,day,18093.0,-437.23,242.032622334,12.3258785942,-1.07622184835,-1.0186181323,-1.10317906668,-1.07538157196,-0.732624780752,-0.0094729438575,1.2448207943,-0.967668515245
2017-02-17,1897,sz300226,40.18,39.09,40.5,38.89,day,27414.0,-1728.21,243.977415307,12.4249201278,-0.910698654584,-1.06558570261,-0.954866451266,-1.02605693523,-0.435887704125,-0.274032295305,1.25766755325,-0.941242094822
2017-02-16,1896,sz300226,39.9,40.18,40.5,39.82,day,16589.0,-529.63,249.811794228,12.7220447284,-0.953218374084,-0.900441665049,-0.954866451266,-0.878083025044,-0.780505111537,-0.0284083914041,1.29620783009,-0.861962833552
2017-02-15,1895,sz300226,40.25,40.1,41.48,40.01,day,29338.0,-615.13,251.003764115,12.7827476038,-0.900068724709,-0.912562328356,-0.812370016851,-0.847851796082,-0.374636536285,-0.0459298282573,1.30408165009,-0.845765995228
2017-02-14,1894,sz300226,40.51,40.53,40.89,40.21,day,22280.0,-1465.53,252.25846926,12.8466453674,-0.86058612803,-0.847413763078,-0.89815868655,-0.816029449806,-0.599330269451,-0.220201522994,1.31236988167,-0.828716691728
2017-02-13,1893,sz300226,39.7,40.8,42.8,39.48,day,42402.0,570.9,247.678795483,12.6134185304,-0.983589602299,-0.806506524415,-0.620436043966,-0.932181013713,0.0412601667576,0.197122215614,1.28211783641,-0.8909466495
2017-02-10,1892,sz300226,40.0,39.71,40.28,39.55,day,16868.0,-559.72,248.117942284,12.6357827476,-0.938032759977,-0.971650561981,-0.986855446747,-0.921043192517,-0.771623055494,-0.0345747076019,1.28501871746,-0.884979393275
